id,values
1314,15.1
1315,-5.2
1316,-5.5
1317,-6.0
1318,12.8
1319,-6.6
1320,-6.5
1321,-7.0
1322,-7.6
1323,-7.9
1324,-7.6
1325,-7.4
1326,-7.8
1327,-7.7
1328,-7.6
1329,-7.0
1330,-6.1
1331,-5.4
1332,-4.6
1333,-4.5
1334,14.2
1335,-5.1
1336,-4.7
1337,-4.0
1338,-3.9
1339,15.5
1340,-3.5
1341,-3.6
1342,-3.6
1343,-3.8
1344,-4.2
1345,-4.6
1346,-5.1
1347,-5.4
1348,-5.2
1349,-5.3
1350,-5.0
1351,-5.2
1352,14.0
1353,-5.3
1354,-5.1
1355,-4.6
1356,-4.5
1357,-3.9
1358,-3.2
1359,-3.1
1360,15.4
1361,-3.9
1362,-4.5
1363,-4.4
1364,14.6
1365,14.4
1366,-5.8
1367,-6.3
1368,-7.0
1369,-7.3
1370,-7.1
1371,-7.6
1372,-7.4
1373,11.9
1374,-7.7
1375,12.3
1376,-6.5
1377,-4.7
1378,16.7
1379,-0.6
1380,-0.8
1381,-0.6
1382,-1.1
1383,-0.9
1384,-1.6
1385,-2.9
1386,-4.1
1387,-4.5
1388,-4.0
1389,15.9
1390,-2.4
1391,16.8
1392,16.8
1393,-4.0
1394,-4.4
1395,-3.0
1396,16.0
1397,0.3
1398,20.4
1399,20.2
1400,2.7
1401,3.2
1402,4.0
1403,24.2
1404,5.1
1405,5.7
1406,5.8
1407,5.5
1408,5.7
1409,4.8
1410,4.8
1411,4.7
1412,4.4
1413,4.5
1414,4.9
1415,5.0
1416,4.9
1417,4.2
1418,3.8
1419,23.7
1420,4.7
1421,4.4
1422,3.5
1423,2.8
1424,2.9
1425,2.7
1426,2.0
1427,3.1
1428,3.5
1429,4.3
1430,3.2
1431,2.9
1432,22.2
1433,22.3
1434,2.8
1435,2.7
1436,2.8
1437,2.8
1438,22.3
1439,22.2
1440,2.7
1441,2.4
1442,2.2
1443,2.3
1444,2.3
1445,2.1
1446,1.6
1447,3.0
1448,2.2
1449,1.9
1450,21.4
1451,2.9
1452,3.0
1453,22.2
1454,2.9
1455,2.9
1456,2.9
1457,2.5
1458,2.1
1459,1.8
1460,1.9
1461,2.2
1462,2.5
1463,3.1
1464,2.8
1465,2.4
1466,2.1
1467,1.9
1468,2.5
1469,3.0
1470,3.4
1471,3.5
1472,4.5
1473,5.3
1474,6.2
1475,25.9
1476,7.6
1477,7.0
1478,7.5
1479,7.5
1480,25.3
1481,4.8
1482,3.5
1483,3.7
1484,3.6
1485,3.2
1486,2.8
1487,2.6
1488,2.8
1489,3.7
1490,2.9
1491,2.5
1492,2.2
1493,2.0
1494,21.0
1495,1.8
1496,21.3
1497,2.1
1498,22.6
1499,3.5
1500,4.0
1501,23.4
1502,5.1
1503,5.0
1504,4.5
1505,4.3
1506,3.8
